Araç,Sayfa,Başlık,Entry No,Entry Metni,tokens
fiat egea,2,fiat egea,1,baya güzel olmuş lan vay anasını sayın seyirciler.,"['baya', 'güzel', 'olmuş', 'lan', 'vay', 'anasını', 'sayın', 'seyirciler']"
fiat egea,2,fiat egea,2,-ben fiyat eğöörm istiyom.+abi linea verelim?-iyi olur. vade kaç?tanım: yeni fiat modeli.,"['-ben', 'fiyat', 'eğöörm', 'istiyom.+abi', 'linea', 'verelim', '-iyi', 'olur', 'vade', 'kaç', 'tanım', 'yeni', 'fiat', 'modeli']"
fiat egea,2,fiat egea,3,fiat'ın yeni mondeo'su.,"[""fiat'ın"", 'yeni', ""mondeo'su""]"
fiat egea,2,fiat egea,4,"autoweek hollanda bu araba hakkında şunları yazmış; (3 tane de böyük resim koymuş)http://www.autoweek.nl/…/read.php?4,5440738,5440739","['autoweek', 'hollanda', 'araba', 'hakkında', 'şunları', 'yazmış', '3', 'tane', 'böyük', 'resim', 'koymuş', 'http', '//www.autoweek.nl/…/read.php', '4,5440738,5440739']"
fiat egea,2,fiat egea,5,"ön taraftan bakınca her şeye benzettiğim araba. özellikle superb, jetta, passat ...","['ön', 'taraftan', 'bakınca', 'şeye', 'benzettiğim', 'araba', 'özellikle', 'superb', 'jetta', 'passat', '...']"
fiat egea,2,fiat egea,6,türkiyenin yeni sarı taksisi,"['türkiyenin', 'yeni', 'sarı', 'taksisi']"
fiat egea,2,fiat egea,7,ucuz c segmenti furyasına ait citroen c-elysee müşterilerinden çalabilir.,"['ucuz', 'c', 'segmenti', 'furyasına', 'ait', 'citroen', 'c-elysee', 'müşterilerinden', 'çalabilir']"
fiat egea,2,fiat egea,8,"epeydir sözü edilen bir otomobildi (bkz: #46850561)her ne kadar bilindik fiat çizgilerinden farklı gözükse de tasarımı şık, iç mekanı derli toplu gözüken otomobil.malzeme ve işçilik kalitesi en az fiat 500x'teki gibi özenli olursa, fiat'ın başarılı dizel motorlarına bir de çift kavramalı otomatik şanzıman eklenirse ülkemizde acaip satış rakamlarına ulaşması şaşırtmaz.bir de, umarım gövdenin altına alfa romeo'dan epey bir şey almışlardır*","['epeydir', 'sözü', 'edilen', 'bir', 'otomobildi', 'bkz', '46850561', 'kadar', 'bilindik', 'fiat', 'çizgilerinden', 'farklı', 'gözükse', 'tasarımı', 'şık', 'iç', 'mekanı', 'derli', 'toplu', 'gözüken', 'otomobil.malzeme', 'işçilik', 'kalitesi', 'fiat', ""500x'teki"", 'özenli', 'olursa', ""fiat'ın"", 'başarılı', 'dizel', 'motorlarına', 'bir', 'çift', 'kavramalı', 'otomatik', 'şanzıman', 'eklenirse', 'ülkemizde', 'acaip', 'satış', 'rakamlarına', 'ulaşması', 'şaşırtmaz.bir', 'umarım', 'gövdenin', 'altına', 'alfa', ""romeo'dan"", 'epey', 'bir', 'almışlardır']"
fiat egea,2,fiat egea,9,şimdiye kadar ki en yakışıklı fiat modeli gibi görünüyor.bekliyoruz..,"['şimdiye', 'kadar', 'yakışıklı', 'fiat', 'modeli', 'görünüyor.bekliyoruz', '..']"
fiat egea,2,fiat egea,10,ön ızgara şekli mondeo kendisiön ızgara süslemelesi mercedes a serisi amg ızgara kendisiarka taraf stopları insignia kendisikaputtaki 4 kanal focus kendisiön far şekli citroen c4 kendisikaput-tampon duruşu passat kendisibütün olarak bakıldığında beğendim. türk malı olacak ve 50bin tela'nın altında satılacaksa etrafta bol bol görebiliriz.,"['ön', 'ızgara', 'şekli', 'mondeo', 'kendisiön', 'ızgara', 'süslemelesi', 'mercedes', 'a', 'serisi', 'amg', 'ızgara', 'kendisiarka', 'taraf', 'stopları', 'insignia', 'kendisikaputtaki', '4', 'kanal', 'focus', 'kendisiön', 'far', 'şekli', 'citroen', 'c4', 'kendisikaput-tampon', 'duruşu', 'passat', 'kendisibütün', 'olarak', 'bakıldığında', 'beğendim', 'türk', 'malı', 'olacak', '50bin', ""tela'nın"", 'altında', 'satılacaksa', 'etrafta', 'bol', 'bol', 'görebiliriz']"
