Araç,Sayfa,Başlık,Entry No,Entry Metni,Lemmatize Entry Metni
fiat egea,2,fiat egea,1,baya güzel olmuş lan vay anasını sayın seyirciler.,baya güzel olmuş lan vay anasını sayın seyirciler .
fiat egea,2,fiat egea,2,-ben fiyat eğöörm istiyom.+abi linea verelim?-iyi olur. vade kaç?tanım: yeni fiat modeli.,- ben fiyat egoorm istiyorum . + abi linea verelim ? - iyi olur . vade kaç ? tanım : yeni fiat modeli .
fiat egea,2,fiat egea,3,fiat'ın yeni mondeo'su.,fiat'ın yeni mondeosu .
fiat egea,2,fiat egea,4,"autoweek hollanda bu araba hakkında şunları yazmış; (3 tane de böyük resim koymuş)http://www.autoweek.nl/…/read.php?4,5440738,5440739","autoweek hollanda bu araba hakkında şunları yazmış ; ( 3 tane de büyük resim koymuş ) http://www.autoweek.nl/ … / read . php ? 4,5440738,5440739"
fiat egea,2,fiat egea,5,"ön taraftan bakınca her şeye benzettiğim araba. özellikle superb, jetta, passat ...","ön taraftan bakınca her şeye benzettiğim araba . özellikle superb , jetta , passat ..."
fiat egea,2,fiat egea,6,türkiyenin yeni sarı taksisi,türkiyenin yeni sarı taksisi
fiat egea,2,fiat egea,7,ucuz c segmenti furyasına ait citroen c-elysee müşterilerinden çalabilir.,ucuz c segmenti furyasına ait citroen c-elysee müşterilerinden çalabilir .
fiat egea,2,fiat egea,8,"epeydir sözü edilen bir otomobildi (bkz: #46850561)her ne kadar bilindik fiat çizgilerinden farklı gözükse de tasarımı şık, iç mekanı derli toplu gözüken otomobil.malzeme ve işçilik kalitesi en az fiat 500x'teki gibi özenli olursa, fiat'ın başarılı dizel motorlarına bir de çift kavramalı otomatik şanzıman eklenirse ülkemizde acaip satış rakamlarına ulaşması şaşırtmaz.bir de, umarım gövdenin altına alfa romeo'dan epey bir şey almışlardır*","epeydir sözü edilen bir otomobildi ( bkz : #46850561 ) her ne kadar bilindik fiyat çizgilerinden farklı gözükse de tasarımı şık , iç mekanı derli toplu gözüken otomobil . malzeme ve işçilik kalitesi en az fiyat 500x'teki gibi özenli olursa , fiat'ın başarılı dizel motorlarına bir de çift kavramalı otomatik şanzıman eklenirse ülkemizde acayip satış rakamlarına ulaşması şaşırtmaz . bir de , umarım gövdenin altına alfa romeodan epey bir şey almışlardır *"
fiat egea,2,fiat egea,9,şimdiye kadar ki en yakışıklı fiat modeli gibi görünüyor.bekliyoruz..,şimdiye kadar ki en yakışıklı fiat modeli gibi görünüyor . bekliyoruz . .
fiat egea,2,fiat egea,10,ön ızgara şekli mondeo kendisiön ızgara süslemelesi mercedes a serisi amg ızgara kendisiarka taraf stopları insignia kendisikaputtaki 4 kanal focus kendisiön far şekli citroen c4 kendisikaput-tampon duruşu passat kendisibütün olarak bakıldığında beğendim. türk malı olacak ve 50bin tela'nın altında satılacaksa etrafta bol bol görebiliriz.,ön ızgara şekli mondeo kendisin ızgara süslemeleri mercedes a serisi amg ızgara kendisiarka taraf stopları ınsignia kendisikaputtaki 4 kanal focus kendisin far şekli citroen c4 kendisikaput-tampon duruşu passat kendisibütün olarak bakıldığında beğendim . türk malı olacak ve 50bin telanın altında satılacaksa etrafta bol bol görebiliriz .
fiat egea,3,fiat egea,1,bir aston martin daha dedirtti,bir aston martin daha dedirtti
fiat egea,3,fiat egea,2,"turkiye ve diger afrika, orta asya ulkeleri haricinde biraz daha bati avrupa tarzina yaklasmayi amaclamis, o pazarlarda pay sahibi olma amaci olan bir model gibi duruyor. bizim gibi ıtalyanlarin da ilk bakista yorumlari diger modellerden kopyalanmis, yok efendim uyduruk olmus tarzinda, ama boyle oluyor bu islere boyle baslaniyor, paran cok degilse ve dikkat cekeceksen baska bir yol yok.","türkiye ve diğer afrika , ortaasya ülkeleri haricinde biraz daha batı avrupa tarzına yaklaşmayı amaçlamış , o pazarlarda pay sahibi olma amacı olan bir model gibi duruyor . bizim gibi italyanların da ilk bakışta yorumları diğer modellerden kopyalanmış , yok efendim uyduruk olmuş tarzında , ama böyle oluyor bu işlere böyle başlanıyor , paran çok değilse ve dikkat çekeceksen başka bir yol yok ."
fiat egea,3,fiat egea,3,$800 milyon'lık yatırım sonucu küresel markanın ürün gamında yerini alan yeni fiat modeli.http://i62.tinypic.com/15mk8l2.jpghttp://i57.tinypic.com/9vbcm0.jpghttp://i60.tinypic.com/mw5r3m.jpghttp://i61.tinypic.com/2n8mn47.jpg,$ 800 milyon'luk yatırım sonucu küresel markanın ürün gamında yerini alan yeni fiat modeli . http://i62.tinypic.com/15mk8l2.jpghttp :/ / i57 . tinypic.com/9vbçm0.jpghttp :/ / i60 . tinypic.com/mw5r3m.jpghttp :/ / i61 . tinypic.com/2n8mn47.jpg
fiat egea,3,fiat egea,4,budur.,budur .
fiat egea,3,fiat egea,5,bir kaç arabadan devşirme gibi geldi bana tasarımı. ozellikle vw passat tan cok esinlenilmiş. yandan bildigin passat. malzeme kalitesinide artık fuarda inceleyince yazarım ama mucize beklemiyorum acıkcası.. kiralama şirketlerinin gözbebeği olur. binlerce beyaz ve metalik gri rengi dolasmaya başlar yakında,bir kaç arabadan devşirme gibi geldi bana tasarımı . özellikle vw passat tan çok esinlenmiş . yandan bildiğin passat . malzeme kalitesinde artık fuarda inceleyince yazarım ama mucize beklemiyorum açıkçası . . kiralama şirketlerinin gözbebeki olur . binlerce beyaz ve metalik gri rengi dolaşmaya başlar yakında
fiat egea,3,fiat egea,6,herkeste bir yumuşak g hayranlığı. ikinci el ilanlarında bu araç fiyat agaya olarak geçecektir. bursa hariç.,herkeste bir yumuşak g hayranlığı . ikinci el ilanlarında bu araç fiyat ağaya olarak geçecektir . bursa hariç .
fiat egea,3,fiat egea,7,"adı ingilizce 'aegean' yani 'ege' den türemiş , fiat'ın yeni sedan modeli. görünüşü de hayli hoş","adı ingilizce ' aegean ' yani ' ege ' den türemiş , fiat'ın yeni sedan modeli . görünüşü de hayli hoş"
fiat egea,3,fiat egea,8,muhtemelen sene sonu alıp kırbacı vuracağım fiat sedanı.,muhtemelen sene sonu alıp kırbacı vuracağım fiyat sedanı .
fiat egea,3,fiat egea,9,aracın arkasına osmanlı tuğrası koymasınlar diye adını ilginç yapmışlar.,aracın arkasına osmanlı tuğrası koymasınlar diye adını ilginç yapmışlar .
fiat egea,3,fiat egea,10,ooh yeni taksilerimiz geldi. :) linea'dan şekilli beğendim.,oha yeni taksilerimiz geldi . :) lineadan şekilli beğendim .
fiat egea,4,fiat egea,1,(bkz: ağaya özel aegea)(bkz: fiat ağaya),( bkz : ağaya özel Aegean ) ( bkz : fiyat ağaya )
fiat egea,4,fiat egea,2,"şayet donanım konusunda cimri davranılmazsa ve albea, linea gibi modellerin dandikliğinden esintiler sokuşturulmazsa, fiat'ın 1990-1999 yılları arasında ürettiği efsane otomobil fiat tempra'nın yerini en sonunda alabilecek bir sedanı olmuş olacak gibi görünüyor.tasarım babında ise uzun zamandır fiat'tan çıkan en premium tasarım diyebiliriz.","şayet donanım konusunda cimri davranılmazsa ve albea , linea gibi modellerin dandikliğinden esintiler sokuşturulmazsa , fiat'ın 1990-1999 yılları arasında ürettiği efsane otomobil fiyat tempranın yerini en sonunda alabilecek bir sedanı olmuş olacak gibi görünüyor . tasarım babında ise uzun zamandır fiattan çıkan en premium tasarım diyebiliriz ."
fiat egea,4,fiat egea,3,"yakıtta cimri, konforda cömert bir yer uçağı. sahibinden.com'culara kıyağım olsun.burdan fiat tasarımcılarına sormak istiyorum.- o kadar euro'yu sik gibi araba tasarlayın diye veriyorlarsa bravo, çok başarılısınız. hele o ön ızgarlar nedir mına koduğumun mario'ları.","yakıtta cimri , konforda cömert bir yer uçağı . sahibinden.com'culara kıyağım olsun . buradan fiyat tasarımcılarına sormak istiyorum . - o kadar euro'yu sik gibi araba tasarlayın diye veriyorlarsa bravo , çok başarılısınız . hele o on izharlar nedir mina koyduğumun marioları ."
fiat egea,4,fiat egea,4,sanırım ega diye okunacak. üzerinde uzun süre düşündüm. fava atıp bekliyorum kendimi.,sanırım ega diye okunacak . üzerinde uzun süre düşündüm . fava atıp bekliyorum kendimi .
fiat egea,4,fiat egea,5,(bkz: en son kaça olur),( bkz : en son kaça olur )
fiat egea,4,fiat egea,6,"http://www.autocar.co.uk/…ealed-istanbul-motor-show--- spoiler ---ıt will come with a choice of four engines - two multijet ıı diesels and two petrols, with power ratings between 94bhp and 118bhp. fiat claims that they are capable of as much as 70.6mpg - on a par with the likes of the smaller panda model.bruno confirmed that the company is still assessing whether to bring the car to the uk, and that it will be offered with euro 6 compliant engines if it chooses to do so.--- spoiler ---yani diyor ki türklere multi jet 2 motorlusunu iteliyoruz ama ingiltere'de bu aracı satacaksak s.ke s.ke euro 6 normlarına uydurmak zorundayız.bize görülen reva bu işte.","http://www.autocar.co.uk/ … ealed-istanbul - motor-show - - - spoiler - - - it will come with a choice of four engine - two multijet ıı diesels and two petrol , with power ratings between 94bhp and 118bhp . fiyat claims hat they are çapabile of as much as 70.6 mpg - on a par with the Lives of the sualler panda model . bruno confirmed hat the company is still assessing whether to bring the car to the uk , and hat it will be offered with euro 6 compliant engine ıf it chooses to do so . - - - spoiler - - - yani diyor ki türklere multi jet 2 motorlusunu iteliyoruz ama ingiltere'de bu aracı satacaksak s. ke s. ke euro 6 normlarına uydurmak zorundayız . bize görülen reva bu işte ."
fiat egea,4,fiat egea,7,"her ne kadar önü passata arkası jaguara da benzese linea-punto gibi modellere göre tasarım konusunda fiat kendini geliştirmiş. ödeme kolaylıkları, servis yaygınlığı ve yedek parça fiyat avantajı gibi konularla beraber uygun bir fiyat politikası ile iyi satış yapabilir bu model.","her ne kadar onu passata arkası jaguara da benzese linea-punto gibi modellere göre tasarım konusunda fiyat kendini geliştirmiş . ödeme kolaylıkları , servis yaygınlığı ve yedek parça fiyat avantajı gibi konularla beraber uygun bir fiyat politikası ile iyi satış yapabilir bu model ."
fiat egea,4,fiat egea,8,citroen c-elysee ve peugeot 301'e kardeş geldi.,citroen c-elysee ve peugeot 301'e kardeş geldi .
fiat egea,4,fiat egea,9,türkiye de tofaş fabrikasında uretilecektir.,türkiye de tofaş fabrikasında üretilecektir .
fiat egea,4,fiat egea,10,"güzel araba olmuş. arka far grubunu biraz daha geniş tutabilirlerdi ama, bu haliyle de güzel.firmaların yavaş yavaş ""ucuz araba yarak gibi gözükmeli"" anlayışından sıyrılmaya başlaması iyi oldu.","güzel araba olmuş . arka far grubunu biraz daha geniş tutabilirlerdi ama , bu haliyle de güzel . firmaların yavaş yavaş "" ucuz araba yarak gibi gözükmeli "" anlayışından sıyrılmaya başlaması iyi oldu ."
fiat egea,5,fiat egea,1,linea'dan çok daha şık olduğu aşikar.bahsedilenin aksine hiç jetta'ya benzetmedim.mis gibi araba olmulş. umarım fiyatı da uygun olur.,lineadan çok daha sık olduğu aşikar . bahsedilenin aksine hiç jettaya benzetmedim . mis gibi araba ölmüş . umarım fiyatı da uygun olur .
fiat egea,5,fiat egea,2,(bkz: fiata altın semer de vursan fiat yine fiattır),( bkz : fiata altın semer de vursan fiyat yine fiattır )
fiat egea,5,fiat egea,3,onden bakildiginda vw passat b8 ve volvo s60 karisimi olan fiatin yeni aracidir . tam bir kiralik arac sirketleri icin üretimi yapılası aracdir.,önden bakıldığında vw passat b8 ve volvo s60 karışımı olan fiatın yeni aracıdır . tam bir kiralık araç şirketleri için üretimi yapılası araçtır .
fiat egea,5,fiat egea,4,(bkz: vurun daha ölmedi)ekşisözlük bir siki beğenmeme timinin yeni hedefi olan fiat modelidir. piyasaya çıkmayı bırak daha lansmanı bile yapılmamış arabanın ne tenekeliği kaldı ne tasarımının çakma olması. hepiniz ferrari'ye biniyorsunuz sanki amk.,( bkz : vurun daha ölmedi ) eksişözlük bir siki beğenmeme timinin yeni hedefi olan fiyat modelidir . piyasaya çıkmayı bırak daha lansmanı bile yapılmamış arabanın ne tenekeliği kaldı ne tasarımının çakma olması . hepiniz Ferrari'yi biniyorsunuz sanki amk .
fiat egea,5,fiat egea,5,"az buçuk ingilizce bilenlerin ""ege"" olarak devşirecekleri, bilmeyenlerin ise ""ağaya"" diyecekleri model. artık sahibinden de görürüz ""meraklısına değil ağaya""","az buçuk ingilizce bilenlerin "" ege "" olarak devşirecekleri , bilmeyenlerin ise "" ağaya "" diyecekleri model . artık sahibinden de görürüz "" meraklısına değil ağaya """
fiat egea,5,fiat egea,6,"öncelikle yakından incelemeden, test sürüşü yapmadan ve hatta bir müddet kullanımda olduktan sonra yorum yapılması gerektiğini düşündüğüm araba. ama sözlükte öyle mi doğrudan gömdüler arabayı. neyse yorumuma geçeyim.link aradım bulamadım ama bir-iki ay önce bir sitede fiat'ın yeni çıkacak sedan modeline isim aradığını görmüştüm. aegea ismi bence güzel. ege diyip geçin işte kasmaya gerek yok. genel kanının aksine ön tarafının volvo s60'a benzediğini düşünüyorum. arka görüntüsü ise başıma birşey gelmeyecekse bagaj kapağı kısmı bmw modellerine geri kalan kısmı ise biraz skoda modellerine benziyor. iç bölüme geçecek olursak kuzeni alfa romeo'dan esintiler var. özellikle klima tuşları ve az da olsa ekranda alıntılar var.yerden yere vurmadan önce tebrik etmek lazım. belli bir uğraşın olduğu ortada. emek verilmiş bir araba. tespit edilecek fiyat aralığına göre bir çok sınıfı etkileyeceği kesin. ben renault fluence ve vw jetta gibi arabaları hedef aldıklarını düşünmekteyim. malum halkımız yerli ve hesaplı olunca daha bir gaza geliyor. bunlarla beraber 1.3 veya 1.6 multijet dizel motor seçeneği ile otomatik vitesi birleştirirlerse oldukça iyi bir satış oranı yakalayacağını düşünmekteyim. tabi önce halkımızın aracı benimsemesi gerek.diğer yandan biraz masraf yapıp alfa romeo gibi yol tutuş ve performans görebilirsek belki daha da yüksek bir fiyat aralığında bizi karşılayabilir. bu durumda öncelikle vw jetta ve renault fluence modellerinin öncelikle filo satış ve kiralama alanındaki tekelini kırabilir. belki liderliğe bile yükselebilir. sonuçta fiat faktörü var. yerli aracımız gibi sahiplenme olursa satışlar çok yüksek çıkabilir.autoshow 2015'e gitme ihtimalim var. belki orada görüp inceleyebilirim. son olarak aegea.io diyor ve iğrenç bir şakayla bu entry'mi bitiriyorum.","öncelikle yakından incelemeden , test sürüşü yapmadan ve hatta bir müddet kullanımda olduktan sonra yorum yapılması gerektiğini düşündüğüm araba . ama sözlükte öyle mi doğrudan gömdüler arabayı . neyse yorumuma geçeyim . link aradım bulamadım ama Birlik'i ay önce bir sitede fiat'ın yeni çıkacak sedan modeline isim aradığını görmüştüm . Aegean ismi bence güzel . ege diyip geçin işte kasmaya gerek yok . genel kanının aksine ön tarafının volvo s60'a benzediğini düşünüyorum . arka görüntüsü ise başıma bir şey gelmeyecekse bagaj kapağı kısmı bmw modellerine geri kalan kısmı ise biraz skoda modellerine benziyor . iç bölüme geçecek olursak kuzeni alfa romeodan esintiler var . özellikle klima tuşları ve az da olsa ekranda alıntılar var . yerden yere vurmadan önce tebrik etmek lazım . belli bir uğraşın olduğu ortada . emek verilmiş bir araba . tespit edilecek fiyat aralığına göre bir çok sınıfı etkileyeceği kesin . ben renault fluence ve vw jetta gibi arabaları hedef aldıklarını düşünmekteyim . malum halkımız yerli ve hesaplı olunca daha bir gaza geliyor . bunlarla beraber 1.3 veya 1.6 multijet dizel motor seçeneği ile otomatik vitesi birleştirirlerse oldukça iyi bir satış oranı yakalayacağını düşünmekteyim . tabi önce halkımızın aracı benimsemesi gerek . diğer yandan biraz masraf yapıp alfa romeo gibi yol tutuş ve performans görebilirsek belki daha da yüksek bir fiyat aralığında bizi karşılayabilir . bu durumda öncelikle vw jetta ve renault fluence modellerinin öncelikle filo satış ve kiralama alanındaki tekelini kırabilir . belki liderliğe bile yükselebilir . sonuçta fiyat faktörü var . yerli aracımız gibi sahiplenme olursa satışlar çok yüksek çıkabilir . autoshow 2015'e gitme ihtimalim var . belki orada görüp inceleyebilirim . son olarak Aegean . iö diyor ve iğrenç bir şakayla bu entry'mi bitiriyorum ."
fiat egea,5,fiat egea,7,"başıma bir şey gelmeyecekse benim beğendiğim arabadır. ancak beni korkutan bir linea edasıyla traktör gibi sesi içeri alma olasılığı.boşverin millet akp yurtdışından gelen araçların kalma süresini 2 seneye çıkarıyormuş seçim vaadi olarak(!), hadi hepimiz gürcü ya da bulgar vatandaşı olalım toplu şekilde.geçen varna'dayım herifçioğlu geldi e230 mercedes 8 yaşında falan, 5 levalık benzin attı gitti. araba zaten 3 bin leva.arabaların adını da gödeleş koyar internette hava atarız mk.","başıma bir şey gelmeyecekse benim beğendiğim arabadır . ancak beni korkutan bir linea edasıyla traktör gibi sesi içeri alma olasılığı . boşverin millet akp yurtdışından gelen araçların kalma süresini 2 seneye çıkarıyormuş seçim vaadi olarak (!) , hadi hepimiz gürcü ya da bulgar vatandaşı olalım toplu şekilde . geçen varnadayım herifçioğulu geldi e230 mercedes 8 yaşında falan , 5 levalık benzin attı gitti . araba zaten 3 bin leva . arabaların adını da Goode'leş koyar internette hava atarız mk ."
fiat egea,5,fiat egea,8,"fiziki olarak test etmeden konuşmak çok anlamlı değil ama; citroen (peugeot), renault clio ve hatta opel astra gibi sınıf arkadaşlarına sağlam bir darbe vurur gibi geliyor. vw modelleri (jetta ve passat) ürünleri ile herhangi bir şekilde aynı cümlede yer alması ise olsa olsa şakacılıktır...ağzınızı toplayın.","fiziki olarak test etmeden konuşmak çok anlamlı değil ama ; citroen ( peugeot ) , renault clio ve hatta opel astra gibi sınıf arkadaşlarına sağlam bir darbe vurur gibi geliyor . vw modelleri ( jetta ve passat ) ürünleri ile herhangi bir şekilde aynı cümlede yer alması ise olsa olsa şakacılıktır ... ağzınızı toplayın ."
fiat egea,5,fiat egea,9,euro 6 motorla ulkemizde satisa sunulabilecek araç,euro 6 motorla ülkemizde satışa sunulabilecek araç
fiat egea,5,fiat egea,10,tasarım olarak güzel olmuş diyebildiğim araba. ancak hangi segment olduğunu anlayamadım bu konuda bilgisi olan varsa sevabına yeşillendirsin.,tasarım olarak güzel olmuş diyebildiğim araba . ancak hangi segment olduğunu anlayamadım bu konuda bilgisi olan varsa sevabına yeşillendirsin .
fiat egea,6,fiat egea,1,"aylardır bursa caddelerinde her tarafı siyah kaplama ile kapatılmış şekilde test sürüşleri yapılıyordu. her trafik ışığında tüm bakışları üzerine çeken bu arabanın markasını modelini anlamak imkansızdı. diğer yandan tofaş fabrikalarında yakını çalışanlar, tofaş bantlarından yeni araba modelinin çıkacağını bildiğinden, markasının fiat olduğunu anlayabiliyorlardı. ortaya çıkan sonuç bence başarılı. nitekim fiat marka bir araç alınacağından beklentiler belli. segmente tasarım anlamında büyük yenilik katacaklarından şüphem yok. şu anda sunulan araçtan daha kaç model çıkacak. sabırla bekliyoruz...","aylardır bursa caddelerinde her tarafı siyah kaplama ile kapatılmış şekilde test sürüşleri yapılıyordu . her trafik ışığında tüm bakışları üzerine çeken bu arabanın markasını modelini anlamak imkansızdı . diğer yandan tofaş fabrikalarında yakını çalışanlar , tofaş bantlarından yeni araba modelinin çıkacağını bildiğinden , markasının fiyat olduğunu anlayabiliyorlardı . ortaya çıkan sonuç bence başarılı . nitekim fiat marka bir araç alınacağından beklentiler belli . segmente tasarım anlamında büyük yenilik katacaklarından şüphem yok . şu anda sunulan araçtan daha kaç model çıkacak . sabırla bekliyoruz ..."
